sku,product_name,status,findings
DTCDP16281,"Cheie de impact cu 2 acumulatori și încărcător, 20 V, 162 Nm",BLOCK,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.; product_type: Catalog calls this an impact wrench; source shows an impact drill with a 13 mm chuck.
DTCDP511,"Mașină de găurit cu acumulator, 20 V, 35 Nm, 1,5 Ah",BLOCK,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; battery_count: Catalog says two 1.5 Ah batteries; source image evidence says x1.
DTCDP5282,"Mașină de găurit cu acumulator și încărcător, 20 V, 52 Nm, 13 mm",PASS,
DTCDP6281,"Mașină de găurit cu 2 acumulatori și încărcător, 20 V, 62 Nm, 13 mm",PASS,
DTCDP7281,"Mașină de găurit cu acumulator, 20 V, 72 Nm, 2 Ah",REVIEW,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.
DTCDP8285,"Cheie de impact cu acumulator, 20 V, 82 Nm",BLOCK,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; product_type: Catalog calls this an impact wrench; source clearly shows an impact drill.; test_data: Specifications contain the literal test value “20 TEST99” and torque 780 instead of 82 N·m.
DTCDP9281,"Mașină de găurit cu acumulator, 20 V, 92 Nm, 4 Ah",REVIEW,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.
DTCDS520,"Cheie de impact cu acumulator, 12 V, 20 Nm, model DTCDS520",BLOCK,catalog_qa: Catalog QA is not approved.; product_type: Catalog calls this an impact wrench; source identifies a 12 V cordless drill.; copied_specs: Specifications were copied from a 780 N·m impact wrench.
DTCDS540,"Cheie de impact cu acumulator, 12 V, 20 Nm, model DTCDS540",BLOCK,catalog_qa: Catalog QA is not approved.; product_type: Catalog calls this an impact wrench; source identifies a 12 V impact drill.; copied_specs: Specifications were copied from a 780 N·m impact wrench.
DTCK20273,"Set scule cu 2 acumulatori și încărcător, 20 V",REVIEW,catalog_qa: Catalog QA is not approved.; source_image_qa: Source image QA is not approved.; description_package_gap: Description does not state the included charger/charging method.
DTCV4415,"Șurubelniță cu acumulator, 4 V, 4 Nm, model DTCV4415",REVIEW,"charger_included_mismatch: Catalog charger_included=yes; source manifest=unknown.; title_package_gap: Title omits the included charger/charging method.; charger_evidence: Catalog says charger included, while source manifest leaves charger status unresolved."
DTCV4628,"Șurubelniță cu acumulator, 4 V, 4 Nm, model DTCV4628",REVIEW,"charger_included_mismatch: Catalog charger_included=yes; source manifest=no.; title_package_gap: Title omits the included charger/charging method.; charger_evidence: Catalog says charger included, while source manifest says no separate charger is depicted."
DTDS204285,"Șurubelniță pentru rigips cu acumulator și încărcător, 20 V, 2 Ah",PASS,
DTDT1B77,Set scule cu acumulator 12 V,BLOCK,catalog_qa: Catalog QA is not approved.; source_image_qa: Source image QA is not approved.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits the included charger/charging method.; voltage_conflict: Title/source say 12 V; specifications say 20 V.
DTDT4B77,Set scule cu acumulator,BLOCK,catalog_qa: Catalog QA is not approved.; source_image_qa: Source image QA is not approved.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits the included charger/charging method.; voltage_conflict: Source says S12 / 12 V; specifications say 20 V and title omits voltage.
DTHL2B15,"Mașină de lustruit fără acumulator și încărcător, 20 V, 150 mm",REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTHL35254,"Mașină de lustruit fără acumulator și încărcător, 20 V, 254 mm",REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTJFP25082,"Foarfece de grădină cu acumulator 16 V, 2 Ah",REVIEW,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; spec_coverage: Only cutting diameter is published; voltage and other core performance specifications are missing.
DTKH1501,"Pistol de aer cald fără acumulator și încărcător, 20 V, 300/550 °C",PASS,
DTKH1B012,"Pistol de aer cald cu acumulator și încărcător, 20 V, 300/550 °C",PASS,
DTLAP5322,"Polizor unghiular cu 2 acumulatori și încărcător, 20 V, 115 mm",REVIEW,description_package_gap: Description does not state the included charger/charging method.
DTLAP5421,"Polizor unghiular cu acumulator și încărcător, 20 V, 115 mm",REVIEW,description_package_gap: Description does not state the included charger/charging method.
DTLAP573,"Polizor unghiular cu acumulator și încărcător, 20 V, 76 mm",PASS,
DTLAPB522,"Polizor unghiular cu acumulator, 20 V, 115 mm",REVIEW,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.
DTLE1M03,Nivelă laser cu linii 0~15 m,BLOCK,description_package_gap: Description does not state that a battery is included.; title_package_gap: Title omits that 2 batteries are included.; battery_semantics: Uses “Acumulator inclus” for two disposable AA alkaline batteries.
DTLE2M03,"Nivelă laser cu linii 0~30 m, model DTLE2M03",BLOCK,description_package_gap: Description does not state that a battery is included.; title_package_gap: Title omits that 2 batteries are included.; battery_semantics: Uses “Acumulator inclus” for two disposable AA alkaline batteries.
DTLE2M05,"Nivelă laser cu linii 0~30 m, model DTLE2M05",REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTLE3M06,"Nivelă laser cu linii 0~30 m, model DTLE3M06",REVIEW,catalog_qa: Catalog QA is not approved.; source_image_qa: Source image QA is not approved.; description_package_gap: Description does not state that the battery is excluded.
DTLE8M12,"Nivelă laser cu linii 12 V, 30 m",REVIEW,description_package_gap: Description does not state that a battery is included.
DTLF1507,Ventilator fără acumulator și încărcător,REVIEW,description_package_gap: Description does not state that the battery is excluded.; platform_evidence: S12 accessories are recommended from voltage alone; source image does not explicitly identify the S12 platform.
DTLM1516,"Ciocan rotopercutor cu acumulator și încărcător, 20 V, 1,5 J",BLOCK,description_package_gap: Description does not state that the battery is excluded.; title_inclusion: Title says charger included; source and flags say battery and charger are sold separately.
DTLM15220,"Ciocan rotopercutor cu acumulator, 20 V, 22 mm",BLOCK,description_package_gap: Description does not state that the battery is excluded.; copied_specs: Variant inherits the 16 mm / 1.5 J specification set from DTLM1516 instead of its own data.
DTLM15225,"Ciocan rotopercutor cu acumulator, 20 V, 4 Ah, model DTLM15225",BLOCK,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; copied_specs: Variant inherits the 16 mm / 1.5 J specification set from DTLM1516 instead of its own data.
DTLM1526,"Ciocan rotopercutor cu acumulator, 20 V, 26 mm",BLOCK,description_package_gap: Description does not state that the battery is excluded.; copied_specs: Variant inherits the 16 mm / 1.5 J specification set from DTLM1516 instead of its own data.
DTLM1528,"Ciocan rotopercutor cu acumulator, 20 V, 28 mm",BLOCK,description_package_gap: Description does not state that the battery is excluded.; copied_specs: Variant inherits the 16 mm / 1.5 J specification set from DTLM1516 instead of its own data.
DTLM1B262,"Ciocan rotopercutor cu acumulator, 20 V, 4 Ah, model DTLM1B262",BLOCK,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; copied_specs: Variant inherits the 16 mm / 1.5 J specification set from DTLM1516 instead of its own data.
DTLN2520,"Compresor auto fără acumulator și încărcător, 20 V, 10,5 bar",REVIEW,spec_coverage: Only two specifications are published; airflow/inflation performance coverage needs review.
DTLSS1520,Distribuitor de semințe cu acumulator,REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTLSY2016,"Pompă de stropit fără acumulator și încărcător, 16 L, 5 bar",PASS,
DTLSY20162,"Pompă de stropit cu acumulator și încărcător, 5 bar",PASS,
DTLV0801,"Aspirator cu acumulator și încărcător, 8 V, 0,45 L, 6 kPa",REVIEW,"invalid_capacity: battery_capacity contains '2000mA', which is not a capacity.; capacity_unit: Source shows 2000mA; capacity must be confirmed as mAh before normalizing to 2 Ah."
DTLV20201,"Aspirator cu acumulator și încărcător, 20 V, 0,45 L, 8 kPa",PASS,
DTLWP5630,"Ferăstrău circular fără acumulator și încărcător, 20 V, 140 mm",PASS,
DTLYP5181,"Foarfece de grădină cu acumulator și încărcător, 20 V, 2 Ah",PASS,
DTMUP5020,Mașină multifuncțională fără acumulator și încărcător,REVIEW,catalog_qa: Catalog QA is not approved.; source_image_qa: Source image QA is not approved.
DTQE15801,Motoburghiu cu acumulator 20 V,REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTQX0120,"Aparat de spălat cu presiune fără acumulator și încărcător, 20 V, 24,5 bar, 2,5 L/min",PASS,
DTQX01203,"Aparat de spălat cu presiune cu acumulator și încărcător, 20 V, 24,5 bar, 2,5 L/min",REVIEW,description_package_gap: Description does not state the included charger/charging method.
DTQX11203,"Aparat de spălat cu presiune cu 2 acumulatori și încărcător, 20 V, 24,8 bar, 3,2 L/min",REVIEW,description_package_gap: Description does not state the included charger/charging method.
DTRAP5010,"Mașină de șlefuit orbitală fără acumulator și încărcător, 20 V, 100 mm",REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTRAP5020,"Mașină de șlefuit orbitală fără acumulator și încărcător, 20 V",REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTRAP5030,"Mașină de șlefuit orbitală fără acumulator și încărcător, 20 V, 125 mm",REVIEW,catalog_qa: Catalog QA is not approved.; source_image_qa: Source image QA is not approved.; description_package_gap: Description does not state that the battery is excluded.
DTRYN418,Mașină de gravurat și șlefuit cu acumulator 4 V,REVIEW,"invalid_capacity: battery_capacity contains '4V', which is not a capacity.; integrated_battery: 4V is stored and displayed as battery capacity; the UI should identify an integrated 4 V battery and confirm charging cable contents."
DTWM2018,Aparat de sudat țevi PPR 20 V,REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTZY1501,"Polizor drept cu acumulator și încărcător, 20 V",REVIEW,description_package_gap: Description does not state the included charger/charging method.
DVCW1001,"Aspirator cu acumulator, 8 V, 0,45 L, 6 kPa",BLOCK,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits the included charger/charging method.; source_identity: Catalog says 8 V / 0.45 L / 6 kPa; source image says 24 V / 0.8 L / ≥10 kPa.
