,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: ,marketing@dyllu.com,,TeL: 0086 512 6569 0317;  Mobile phone: 0086 18061927935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Qty should be multiple of Basic Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD1B785,,Best seller,Cordless impact wrench,"Brushless motor
Voltage: 20V
Square drive: 1/2""
No-load speed: 0-1600/0-2100/0-2400rpm
Impact rate: 0-1500/0-1800/0-2200bpm
Fastening torque: 780Nm
Nut-Busting torque: 950Nm
Integrated LED work light
Include:
2Pcs deep sockets(22,24mm)
1 Pcs belt clip
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP540)
Charge volts: 220-240V~50/60Hz 
Packed by carrying case",PCS,"3,072 MDL",,20,4,0.00,0.000,0.00,Plastic box,0.078,23.90,200,100,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD1B12856,,Best seller,Cordless impact wrench,"Brushless motor
Voltage: 20V
Square drive: 3/4""
No-load speed: 0-900/0-1200/0-1800rpm
Impact rate: 0-1800/0-2000/0-2200bpm
Fastening torque: 1280Nm
Nut-Busting torque: 1800Nm
Integrated work light
Include:
2 Pcs 5.0Ah battery pack(DTLBP550)
1 Pcs charger(DTFCP540)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",PCS,"4,883 MDL",,20,2,0.00,0.000,0.00,Plastic box,0.044,13.30,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD20602,,Best seller,Cordless drive ratchet,"Voltage: 20V
Max.torque: 60Nm
Square Drive: 3/8""
No-load speed: 0-200/0-300/0-350rpm
Include:
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",PCS,"1,909 MDL",,20,4,0.00,0.000,0.00,Plastic box,0.078,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD2060292,,Best seller,Cordless drive ratchet,"Voltage: 20V
Max.torque: 60Nm
Square Drive: 3/8""
No-load speed: 0-200/0-300/0-350rpm
170mm extended neck
Include:
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts:220V-240V~50/60Hz
Packed by carrying case",PCS,"2,194 MDL",,20,4,0.00,0.000,0.00,Plastic box,0.085,15.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD2B21,,Best seller,Cordless impact driver,"Brushless motor
Voltage: 20V
Hex shank: 6.35mm
No-load speed: 0-2000/0-2400/0-2600rpm
Impact rate: 0-2100/0-2500/0-2900bpm
Max torque: 210Nm
Integrated LED work light
Include:
1 Pcs screwdriver bit
3 Pcs nut setters
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts:220V-240V~50/60Hz 
Packed by carrying case",PCS,"1,372 MDL",,30,5,0.00,0.000,0.00,Plastic box,0.055,16.30,120,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD3B21,,Best seller,Cordless impact driver&wrench,"Brushless motor
Voltage: 20V
Square drive: 1/2""
Hex shank: 6.35mm
No-load speed: 0-2000/0-2400/0-2600rpm
Impact rate: 0-2100/0-2500/0-2900bpm
Max torque: 210Nm
Integrated LED work light
Include:
1 Pcs screwdriver bit
1 Pcs 19mm socket
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220V-240V~50/60Hz 
Packed by carrying case",PCS,"1,600 MDL",,30,5,0.00,0.000,0.00,Plastic box,0.053,16.20,30,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLAP573,,Best seller,Cordless angle grinder,"Voltage: 20V
No-load speed: 19500rpm
Disc diameter: 76mm(3"")
Spindle thread: M6
Include:
4 Pcs abrasive metal cutting disc
2 Pcs abrasive metal grinding disc
1 Pcs wet diamond disc
1 Pcs Hex key
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts:220-240V~50/60Hz
Packed by carrying case",PCS,955 MDL,,50,10,0.00,0.000,0.00,Plastic box,0.104,25.50,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLAP5421,,Best seller,Cordless angle grinder,"Brushless motor
Voltage: 20V
Max input power: 850W
No-load speed: 3000/6000/9000rpm
Disc diameter: 115mm
Spindle thread: M14
Include:
1 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,"1,179 MDL",,30,6,0.00,0.000,0.00,Color box,0.052,18.40,12,30,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLAP5322,,Best seller,Cordless angle grinder,"Brushless motor
Voltage: 20V
Max input power: 950W
No-load speed: 3000/6000/9000rpm
Disc diameter: 115mm
Spindle thread: M14
Include:
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",PCS,"1,836 MDL",,40,4,0.00,0.000,0.00,Plastic box,0.078,19.60,156,96,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLAP25292,,Best seller,Cordless angle grinder,"Brushless Motor
Voltage:20V
Max input power: 1150W
No-load speed:3000/6000/9000rpm
Disc diameter: 115mm
Spindle thread: M14
Include:
1 Set abrasive metal cutting disc(5 Pcs)
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",PCS,"2,167 MDL",,40,4,0.00,0.000,0.00,Plastic box,0.078,21.50,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAC3L45,,Best seller,Abrasive metal cutting disc set,"50pcs/set
50pcs/shrink
115mm(4-1/2"")X1.0mm(3/64"")X22.2mm(7/8"")
Flat centre
Cutting disc for metal and inox
RPM:13300r/min
Packed by metal box",SET,308 MDL,,80,16,0.00,0.000,0.00,Metal box,0.022,22.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCK20273,,Best seller,2 Pcs Cordless combo kit,"Voltage:20V
With 1pcs Compact Brushless Cordless Impact Drill(DTCDP6281)
With 1pcs Cordless angle grinder(DTLAP5322)
Compact Brushless Cordless Impact Drill(DTCDP6281):
Brushless motor
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 62Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Cordless angle grinder(DTLAP5322):
Brushless motor
Max input power: 950W
No-load speed: 3000/6000/9000rpm
Disc diameter: 115mm
Spindle thread: M14
Include:
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",SET,"2,597 MDL",,32,4,0.00,0.000,0.00,Plastic box,0.085,25.00,160,208,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTZY1501,,Best seller,Cordless die grinder,"Brushless Motor
Voltage:20V
No-load speed:10000/20000/30000rpm
Collet size: 6mm / 1/4''
Include:
3 Pcs mounted points
1 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",PCS,"1,591 MDL",,40,4,0.00,0.000,0.00,Plastic box,0.085,15.20,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTHL1B18,,Best seller,Cordless polisher,"Brushless motor
Voltage: 20V
No-load speed: 400-2500rpm
Polishing pad diameter: 180mm
Spindle thread: M14
Variable speed control
Include:
1 Pcs D-handle
1 Pcs hook&loop polishing pad
1 Pcs polishing bonnet
Battery and charger sold separately
Packed by color box",PCS,"1,344 MDL",,30,6,0.00,0.000,0.00,Color box,0.062,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTHL1B181,,Best seller,Cordless polisher,"Brushless motor
Voltage: 20V
No-load speed: 400-2500rpm
Polishing pad diameter: 180mm
Spindle thread: M14
Variable speed control
Include:
1 Pcs D-handle
1 Pcs hook&loop polishing pad
1 Pcs polishing bonnet
1 Pcs 4.0Ah battery(DTLBP540)
1 Pcs charge(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by canvas bag",PCS,"2,057 MDL",,20,4,0.00,0.000,0.00,Canvas bag,0.072,16.80,0,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTHL2B15,,Best seller,Cordless polisher,"Brushless motor
Voltage:20V
No-load speed:2000-4500rpm
Polishing pad diameter:150mm
Variable speed control
1 Pcs polishing bonnet
Battery and charger sold separately
Packed by color box",PCS,"1,470 MDL",,30,6,0.00,0.000,0.00,Color box,0.071,16.00,30,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTHL35254,,Best seller,Cordless polisher,"Brushless motor
Voltage:20V
No-load speed:2500rpm
Polishing disc diameter :254mm
Eccentric distance:5mm
With 1 pcs wool polishing bonnet
With 1 pcs towel polishing bonnet
Battery and charger sold separately
Packed by color box",PCS,867 MDL,,20,4,0.00,0.000,0.00,Color box,0.070,8.90,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLM1516,,Best seller,Cordless rotary hammer,"Voltage:20V
No-load speed:0-850rpm
Impact rate:0-5100bpm
Impact energy:1.5J
Max drilling capacity:Φ16 in concrete
SDS plus chuck system
Integrated LED work light
Include:
3 Pcs drills
Charger sold separately
Packed by color box",PCS,903 MDL,,20,4,0.00,0.000,0.00,Color box,0.022,7.60,56,52,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLM22152,,Best seller,Cordless rotary hammer,"Brushless motor
Voltage: 20V
No-load speed: 0-1100rpm
Impact rate: 0-5400bpm
Impact energy: 2.0J
Max.drilling capacity:
 Concrete: 22mm
 Steel: 13mm
 Wood: 28mm
SDS Plus chuck system
Integrated LED work light
Include:
3 Pcs drill bits(6,8,10mm)
1 Pcs chisel
1 Pcs charger(DTFCP502)
2 Pcs 4.0Ah battery(DTLBP540)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",PCS,"2,381 MDL",,20,4,0.00,0.000,0.00,Plastic box,0.078,23.50,0,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLM252682,,Best seller,Cordless rotary hammer,"Brushless motor
Voltage:20V
No-load speed:0-1100rpm
Impact rate:0-5000bpm
Single impact force:2.5J
Max.drilling capacity:
 Concrete: 26mm
 Steel: 13mm
 Wood: 30mm
SDS plus chuck system
Integrated LED work light
Include:
3 Pcs drills 
1 Pcs chisel
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",PCS,"2,578 MDL",,20,4,0.00,0.000,0.00,Plastic box,0.085,24.50,0,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLM25286,,Best seller,Cordless rotary hammer,"Brushless motor
Voltage: 20V
No-load speed: 0-930rpm
Impact rate: 0-4400bpm
Impact energy: 4.5J
Max.drilling capacity:
 Concrete: 28mm
 Steel: 13mm
 Wood: 40mm
SDS Plus chuck system
Include:
3 Pcs drill bits(8,10,12mm)
1 Pcs chisel
1 Pcs grease tube
1 Pcs spanner   
Battery and charger sold separately
Packed by color box",PCS,"1,865 MDL",,20,4,0.00,0.000,0.00,Color box,0.059,20.80,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLM2B286,,Best seller,Cordless rotary hammer,"Brushless motor
Voltage: 20V
No-load speed: 0-930rpm
Impact rate: 0-4400bpm
Impact energy: 4.5J
Max.drilling capacity:
 Concrete: 28mm
 Steel: 13mm
 Wood: 40mm
SDS Plus chuck system
Include:
3 Pcs drill bits(8,10,12mm)
1 Pcs chisel
1 Pcs grease tube
1 Pcs spanner  
2 Pcs 4.0Ah battery  (DTLBP540)
1 Pcs charge (DTFCP540)
Charge volts: 220-240V~50/60Hz 
Packed by plastic box",PCS,"3,099 MDL",,20,2,0.00,0.000,0.00,Plastic box,0.044,17.00,0,70,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLM55352,,Best seller,Cordless demolition breaker,"Brushless motor
Voltage: 20V
Impact rate: 0-3200bpm
Impact energy: 16J
SDS HEX chuck system
Include:
2 Pcs chisel
1 Pcs grease tube
1 Pcs spanner   
2 Pcs 5.0Ah battery(DTLBP550)
1 Pcs charge(DTFCP540)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",PCS,"3,881 MDL",,20,2,0.00,0.000,0.00,Plastic box,0.064,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTKH1501,,Best seller,Cordless heat gun,"Voltage:20V
Temperature:300/550°C
Airflow:100/200 L/min
Include:
1 Pcs reduction nozzle
1 Pcs reflector nozzle
Battery and charger sold separately
Packed by color box",PCS,535 MDL,,50,10,0.00,0.000,0.00,Color box,0.035,8.70,50,70,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
